surface	primary_url	status_snapshot_url	decision_status_as_of_2026_08_23	published_or_status_date	efs_disposition	review_state	note
CSS Snapshot 2026	https://www.w3.org/TR/css-2026/	https://www.w3.org/TR/2026/NOTE-css-2026-20260622/	Group Note	2026-06-22	catalog authority	PRODUCT_REVIEWED	Snapshot status does not prove browser support
CSS Conditional Rules 5	https://www.w3.org/TR/css-conditional-5/	https://www.w3.org/TR/2025/WD-css-conditional-5-20251030/	Working Draft	2025-10-30	required-forward size queries; style and scroll-state evidence-gated	PRODUCT_REVIEWED	Container-query authority; exact subfeature probes required
CSS Forms 1	https://www.w3.org/TR/css-forms-1/	https://www.w3.org/TR/2025/WD-css-forms-1-20250325/	First Public Working Draft	2025-03-25	watch exact customizable-control profile	PRODUCT_REVIEWED	Open UI syntax and keyboard behavior have not converged
CSS Fonts 3	https://www.w3.org/TR/css-fonts-3/	https://www.w3.org/TR/2018/REC-css-fonts-3-20180920/	Recommendation	2018-09-20	durable typography baseline	PRODUCT_REVIEWED	Later Fonts levels remain separate forward features
CSS Fonts 4	https://www.w3.org/TR/css-fonts-4/	https://www.w3.org/TR/2026/WD-css-fonts-4-20260818/	Working Draft	2026-08-18	forward typography features	PRODUCT_REVIEWED	Font/engine output remains presentation
CSS Text 3	https://www.w3.org/TR/css-text-3/	https://www.w3.org/TR/2026/CRD-css-text-3-20260814/	Candidate Recommendation Draft	2026-08-14	required global-text profile	PRODUCT_REVIEWED	Script and font fixtures remain required
CSS Text 4	https://www.w3.org/TR/css-text-4/	https://www.w3.org/TR/2026/WD-css-text-4-20260814/	Working Draft	2026-08-14	forward global-text features	PRODUCT_REVIEWED	No canonical identity dependency
CSS Color 4	https://www.w3.org/TR/css-color-4/	https://www.w3.org/TR/2026/CRD-css-color-4-20260806/	Candidate Recommendation Draft	2026-08-06	required-forward with sRGB and forced-color fallback	PRODUCT_REVIEWED	Color never carries sole meaning
WCAG 2.2	https://www.w3.org/TR/WCAG22/	https://www.w3.org/TR/2024/REC-WCAG22-20241212/	Recommendation	2024-12-12	durable AA release floor	PRODUCT_REVIEWED	Automation alone does not pass
WCAG 3	https://www.w3.org/TR/wcag-3.0/	https://www.w3.org/TR/2026/WD-wcag-3.0-20260303/	Working Draft	2026-03-03	watch	PRODUCT_REVIEWED	Not the release floor
